Wall time,Step,Value
1531316894.1281295,1449,0.9436397552490234
1531316904.948776,1458,1.0206830501556396
1531316906.1767511,1459,1.0516189336776733
1531316919.3868628,1470,1.1127959489822388
1531316929.218304,1478,1.0513815879821777
1531316930.4254582,1479,0.8582735657691956
1531316934.036229,1482,0.9725661873817444
1531316936.4426832,1484,0.9027793407440186
1531316937.6336024,1485,1.0127981901168823
1531316947.2320652,1493,1.110681176185608
1531316948.483242,1494,0.9848731756210327
1531316949.7200894,1495,0.9264459013938904
1531316954.5813456,1499,0.8476901650428772
1531316956.9915955,1501,1.006779432296753
1531316959.3652883,1503,0.8774843811988831
1531316969.1687133,1511,1.1312214136123657
1531316975.1751697,1516,1.1051088571548462
1531316976.378474,1517,1.0450643301010132
1531316979.9792244,1520,1.030845284461975
1531316988.5570464,1527,0.9116871356964111
1531316991.0294778,1529,0.9095475673675537
1531317003.1753027,1539,1.0784300565719604
1531317009.18896,1544,0.932277500629425
1531317010.4554663,1545,0.906008243560791
1531317012.9246492,1547,0.8842960000038147
1531317014.1500795,1548,0.9299024939537048
1531317021.4487736,1554,0.9188560247421265
1531317029.884426,1561,1.0619163513183594
1531317031.1197789,1562,1.0002070665359497
1531317042.218987,1571,1.0487618446350098
1531317047.0885184,1575,1.0504090785980225
1531317049.5172434,1577,1.1109464168548584
1531317054.312324,1581,0.9076443314552307
1531317065.1734152,1590,1.0395946502685547
1531317067.6045725,1592,0.9457188844680786
1531317071.2891226,1595,0.9285408854484558
1531317073.715706,1597,0.9602299332618713
1531317074.9227154,1598,0.941326916217804
1531317104.5621357,1602,0.7401858568191528
1531317113.4726293,1610,0.8772165179252625
1531317115.7074006,1612,0.8207604289054871
1531317123.5460918,1619,0.8478937745094299
1531317124.6806865,1620,0.9256240129470825
1531317129.166119,1624,0.8331692218780518
1531317134.9725368,1629,0.8734580278396606
1531317138.4343,1632,0.7607125639915466
1531317140.8131497,1634,0.8466910123825073
1531317144.2899358,1637,0.7445090413093567
1531317147.9218314,1640,0.8129586577415466
1531317152.716281,1644,0.8575915098190308
1531317161.040592,1651,0.9386876225471497
1531317162.2370288,1652,0.8693014979362488
1531317171.7377772,1660,0.8425054550170898
1531317174.1132505,1662,0.9726801514625549
1531317176.5604033,1664,0.9530603289604187
1531317180.2849424,1667,0.7560669183731079
1531317181.5082712,1668,0.884062647819519
1531317188.7882013,1674,0.9744307994842529
1531317189.9866855,1675,0.9811643362045288
1531317199.486305,1683,0.7608143091201782
1531317203.0020478,1686,0.9644938707351685
1531317204.1917157,1687,0.7967862486839294
1531317205.3881643,1688,0.9454262256622314
1531317206.5838873,1689,0.9237852096557617
1531317208.9624372,1691,0.9434728026390076
1531317212.5472696,1694,0.9674525856971741
1531317220.8167236,1701,0.905078649520874
1531317222.0007806,1702,0.8866775035858154
1531317227.9840233,1707,0.9500939249992371
1531317230.3441002,1709,0.8327655792236328
1531317231.542227,1710,0.8039109706878662
1531317232.7207227,1711,0.8448889851570129
1531317243.441966,1720,0.8263797760009766
1531317248.205458,1724,0.9708428382873535
1531317250.6071787,1726,0.9836247563362122
1531317251.784364,1727,1.0177114009857178
1531317254.1632757,1729,0.9779520630836487
1531317260.081689,1734,0.8457130193710327
1531317261.2617097,1735,0.9521057605743408
1531317263.6280956,1737,1.0802006721496582
1531317264.815965,1738,1.025518536567688
1531317266.001079,1739,0.9841890931129456
1531317269.5130427,1742,0.8905805349349976
1531317271.858569,1744,0.8443477749824524
1531317274.2569132,1746,0.9150813817977905
1531317285.0754173,1755,0.7471958994865417
1531317288.6564176,1758,0.8631594181060791
1531317299.2453988,1767,0.9573329091072083
1531317307.0630744,1773,0.7427236437797546
1531317308.2427845,1774,0.808387279510498
1531317315.323662,1780,0.9314050078392029
1531317316.497828,1781,0.9051527380943298
1531317317.669248,1782,1.0042462348937988
1531317327.139289,1790,1.0107448101043701
1531317334.225888,1796,1.0285800695419312
1531317335.4021506,1797,1.0131901502609253
1531317368.4282165,1804,0.8723339438438416
1531317369.5305548,1805,0.7120633125305176
1531317372.8130565,1808,0.663150429725647
